label_id,text,prefix_key,suffix_key,background_color,text_color,created_at,updated_at,project_id
89,Facts,,,#4f27b6,#ffffff,2020-05-20 23:58:20.321575+00,2020-05-20 23:58:20.3216+00,19
90,Issue,,,#6acea8,#000000,2020-05-20 23:58:27.427267+00,2020-05-20 23:58:27.427294+00,19
91,Rule/Law/Holding,,,#127a00,#ffffff,2020-05-20 23:58:33.2342+00,2020-05-20 23:58:33.234234+00,19
92,Analysis,,,#6f4acb,#ffffff,2020-05-20 23:58:38.965809+00,2020-05-20 23:58:38.965862+00,19
93,Conclusion,,,#c002ce,#ffffff,2020-05-20 23:58:45.059329+00,2020-05-20 23:58:45.059356+00,19
94,Others,,,#9dc4d7,#000000,2020-05-20 23:58:51.5235+00,2020-05-20 23:58:51.523535+00,19
95,Invalid sentences,,,#dad7e4,#000000,2020-05-20 23:58:57.521486+00,2020-05-20 23:58:57.521506+00,19
96,Facts,,,#e2aac6,#000000,2020-05-20 23:59:18.771268+00,2020-05-20 23:59:18.771286+00,18
97,Issue,,,#3887bc,#ffffff,2020-05-20 23:59:24.752522+00,2020-05-20 23:59:24.75255+00,18
98,Rule/Law/Holding,,,#c2e11f,#000000,2020-05-20 23:59:32.071073+00,2020-05-20 23:59:32.071092+00,18
99,Analysis,,,#30e1dd,#000000,2020-05-20 23:59:39.072535+00,2020-05-20 23:59:39.072554+00,18
100,Conclusion,,,#1c919f,#ffffff,2020-05-20 23:59:45.653387+00,2020-05-20 23:59:45.653421+00,18
101,Others,,,#8e739c,#ffffff,2020-05-20 23:59:51.707109+00,2020-05-20 23:59:51.707129+00,18
102,Invalid sentences,,,#f38d57,#000000,2020-05-20 23:59:57.272799+00,2020-05-20 23:59:57.272817+00,18
103,Facts,,,#0a9674,#ffffff,2020-05-21 00:00:14.306421+00,2020-05-21 00:00:14.306458+00,17
104,Issue,,,#c0d1b5,#000000,2020-05-21 00:00:20.47819+00,2020-05-21 00:00:20.478216+00,17
105,Rule/Law/Holding,,,#d1549b,#000000,2020-05-21 00:00:27.13107+00,2020-05-21 00:00:27.131117+00,17
106,Analysis,,,#3baa9e,#000000,2020-05-21 00:00:34.065113+00,2020-05-21 00:00:34.065135+00,17
107,Conclusion,,,#5d0927,#ffffff,2020-05-21 00:00:40.199686+00,2020-05-21 00:00:40.199719+00,17
108,Others,,,#09bc5e,#ffffff,2020-05-21 00:00:45.883547+00,2020-05-21 00:00:45.883567+00,17
109,Invalid sentences,,,#0087e6,#ffffff,2020-05-21 00:00:51.879177+00,2020-05-21 00:00:51.879199+00,17
